ID,Kichwa,Spanish,sentimientos
654,kanllayay,externo ,0.589618924
655,kapak,diciembre ,0.306931113
656,kapak apuk,gobierno ,0.541333261
657,kapak killa,diciembre ,0.306931113
658,kapak llakta,reino ,0.357917044
659,kapak saylla,meridiano ,0.353333872
660,kapak shuyu,mapa político ,0.60803336
661,kapakchi tantanakuy,organización política ,0.371545058
662,kapakchunkana,ajedréz ,0.795410657
663,kapakkamay,política ,0.371545058
664,kapakllakta,imperio ,0.419048326
665,kapakmarka,imperio- reinado ,0.119617327
666,kapaktukukamay,politica ,0.371545058
667,kapasaylla,meridiano ,0.353333872
668,kapisayu,poncho- alargado y entero kitukara ,0.219722012
669,kapisayu kitukara,poncho- alargado y entero ,0.541333261
670,kapuk- pukushka,producto ,0.541333261
671,kapulli,capulí ,0.224713387
672,kara,corteza- piel- cáscara ,0.541333261
673,karana,dar regalo ,0.480431106
674,karaskruyuwa,crustáceos ,0.541333261
675,kari,hombre ,0.446741979
676,kari atallpa,gallo ,0.391611844
677,karilla,gallardo ,0.152868007
678,karipurakuyay,homosexualidad ,0.541333261
679,kariwarmikanakamay,sexualidad ,0.541333261
680,karkanka- sakru,esqueleto ,0.008104986
681,karkay,vertebrado ,0.541333261
682,karu,lejos ,0.541333261
683,karuwillay,telegrama ,0.096152713
684,karuyari,teléfono ,0.136681225
685,karuyarik wasilli,cabina telefonica ,0.25114643
686,karwa,llovizna ,0.828297799
687,karway killa,agosto ,0.313328096
688,kasha,espina ,0.056393925
689,kashakarayukwa,equidermos ,0.541333261
690,kasi,tranquilo- quieto ,0.240937916
691,kasik,paz ,0.75045024
692,kasilla,tranquilidad ,0.541333261
693,kasku,pecho ,0.214153885
694,kasku tullu,esternón ,0.541333261
695,kaspana,chamuscar ,0.541333261
696,kaspi,palo- madera ,0.806728416
697,kaspimakana,espada ,0.601638162
698,katana- killpana,cubrir ,0.171450163
699,katariy,levantamiento ,0.541333261
700,kati paktachik,complemento indirecto ,0.252107061
701,katichay,prosa ,0.541333261
702,katichina,imitar ,0.541333261
703,katik iñu,punto seguido ,0.78207976
704,katik iñuw,punto seguido ,0.78207976
705,katik paktachik kp,complemento indirecto ,0.252107061
706,katikmanyaypurachi,coseno ,0.541333261
707,katikmanyaypuramuchi,secante ,0.541333261
708,katikmanyaypuramunchi,secante ,0.541333261
709,katikmanyaypuranchi,coseno ,0.541333261
710,katiknina,narrar ,0.541333261
711,katikunkuy- purikunkuy,epidemia ,0.639142279
712,katina,seguir ,0.541333261
713,katinalla,modelo ,0.263862915
714,katinti yupaykuna,series numéricas ,0.541333261
715,katisuyu rikuchik iñu,puntos colaterales ,0.450478141
716,katsu,escarabajo ,0.541333261
717,katuranti,negocio ,0.365289955
718,katuy,vender ,0.132215982
719,katuyranti,feria ,0.960262225
720,katuyrantin chani,el valor del intercambio ,0.827046232
721,kawalli,lente- gafas ,0.541333261
722,kawana,cantar ,0.659243558
723,kaway,observación ,0.665643719
724,kawchuna,torcer ,0.27836475
725,kawi,rombo ,0.541333261
726,kawikuk,romboide ,0.541333261
727,kawilli,camilla ,0.263078679
728,kawitu-tiyarina,mueble ,0.541333261
729,kawpuna,torcer ,0.27836475
730,kawsa marka runa,nacionalidades ,0.541333261
731,kawsakkuna,seres ,0.54475158
732,kawsana,vivir ,0.644667951
733,kawsay,cultura- vida ,0.563775792
734,kawsay killka,biografía ,0.541333261
735,kawsay killkamachiy,registro civil ,0.147027753
736,kawsay mallki,herencia genética ,0.865679629
737,kawsaykuk,célula ,0.279228253
738,kawsaykuktantalli,tejido ,0.541333261
739,kawsaymarka,nacionalidad ,0.541333261
740,kawsaypacha,medio ambiente ,0.902496185
741,kawsaypura,interculturalidad ,0.541333261
742,kawsayrikcha,novela ,0.426380986
743,kawsayrikcha w,novela ,0.426380986
744,kawsayshuktakayariy,aculturación ,0.541333261
745,kawsayta chikipi churashpa,poniéndose en peligro ,0.183321056
746,kawsayuk,célula ,0.279228253
747,kay,aquí ,0.541333261
748,kaya,mañana ,0.552740979
749,kayachina,convocar ,0.317373267
750,kayana,invitar/ llamar ,0.216948499
751,kayna,ayer ,0.296751073
752,kaytarikuchi,estados fìsicos ,0.646006282
753,kaytu,nervio ,0.421472896
754,khallu,lengua ,0.270989328
755,khari,masculino ,0.648393746
756,khiwa,hierva ,0.541333261
757,khura,maíz germinado ,0.077165367
758,khuyana,amar ,0.927649111
759,khuzu,larva de escarabajo ,0.013917054
760,kichankuy,cólera ,0.139736328
761,kichkikuchu,ángulo agudo ,0.754155709
762,kichkikuchu kimsamanyachi,triángulo acutángulo ,0.400177423
763,kichkikuchu kimsamanyaychi,triángulo acutángulo ,0.400177423
764,kichuy,arrebatar ,0.140034429
765,kichwa llika,alfabeto kichwa ,0.076180176
766,kikin,usted ,0.541333261
767,kikin shuti,nombre propio ,0.512528795
768,kikinkuyari,autoestima ,0.113970845
769,kikinllatak,consigo mismo ,0.390702147
770,kikinmanta,atentamente ,0.541333261
771,kikinmutsuri,autoconsumo ,0.541333261
772,kikinrimay,idiolecto ,0.541333261
773,kikinruray,costumbres ,0.824430669
774,kikinyari,identidad ,0.615351225
775,kikinyarina,identificar – apropiar ,0.044878996
776,kiliki,quilico ,0.541333261
777,kilkawana,redactar ,0.0835504
778,killa,luna ,0.677836223
779,killa,mes ,0.541333261
780,killanturi,eclipse lunar  ,0.568285971
781,killanturiy,eclipse lunar ,0.568285971
782,killapa nikirakiri,fases de la luna ,0.677836223
783,killimsa rumi,carbón de piedra ,0.43304923
784,killka kamachik,regla ortográfica ,0.400571842
785,killka katina,leer ,0.531700466
786,killkakatiyuk,escritor ,0.868001124
787,killkana,escribir ,0.378546577
788,killkanancha,término algebraico ,0.491530983
789,killkananchakamay,álgebra ,0.018039385
790,killkananchapurachina,reducción de términos semejantes ,0.376054206
791,killkananchaychi,expresión algebraica ,0.049538315
792,killkapa unancha,signo de puntuación ,0.509070159
793,killkapa unancha w,signo de puntuación ,0.509070159
794,killkawana,redactar  ,0.0835504
795,killkaya,carta ,0.823456384
796,killkayachay,tema - teoría ,0.22407885
797,killkayrimay,obra literaria ,0.861908918
798,killpa,capa ,0.446925316
799,killpak kushma,sweater- saco ,0.304627105
800,killu,amarillo ,0.541333261
801,killu sara,maíz amarillo ,0.541333261
802,kimi killka,coeficiente o parte literal ,0.01509345
803,kimi yupay,coeficiente numérico ,0.242294091
804,kimina,acercar ,0.773965143
805,kiminancha,coeficiente ,0.013252007
806,kimirik,contigüos ,0.706013841
807,kimirik kuchukuna,ángulos contiguos o adiacentes ,0.903686148
808,kimirishka yuyay,oración subordinada ,0.274190092
809,kimiriy,acercarse ,0.888571406
810,kimpu / kashtuna,mandíbula- quijada ,0.541333261
811,kimraymaya,hipotenusa ,0.541333261
812,kimsa,tres- 3 ,0.541333261
813,kimsa chunka,treinta- 30 ,0.541333261
814,kimsa kilkanancha kutinchiy,factorización de trinomios ,0.541333261
815,kimsa patsak,trecientos- 300 ,0.541333261
816,kimsachishka kullka,prisma triangular ,0.917342999
817,kimsachishkapa tawa,trinomio cuadrado perfecto ,0.883328613
818,kimsakamachik,regla de tres ,0.400571842
819,kimsakamachimuk,regla de tres inversa ,0.134112516
820,kimsakamachiyak,regla de tres simple ,0.47687103
821,kimsakilkanancha kutinchiy,factorización de trinomios ,0.541333261
822,kimsamanyachi,triángulo ,0.400177423
823,kimsamanyachikamay,trigonometría ,0.541333261
824,kimsamanyapurachi,relaciones trigonométricas ,0.420815
825,kimsaniki kallariy yachay,tercer nivel de ed básica ,0.309697514
826,kimsaniki kallariyachay,tercer nivel ,0.616307896
827,kimsapaktamanyachi,triángulo equilátero ,0.400177423
828,kincha,corral ,0.675333685
829,kinchak,corchetes ,0.541333261
830,kinku,curva ,0.388389656
831,kinkuk,paréntesis ,0.635671652
832,kinraymanya,hipotenusa ,0.541333261
833,kinrayshuyu,función ,0.867367847
834,kinti,picaflor ,0.541333261
835,kinuwa,quinoa ,0.938244979
836,kipapakchiruray,proyecto ,0.451558306
837,kipapakchiruray yachay,proyecto de aula ,0.404815956
838,kipilli,paquete ,0.163711674
839,kiri,llaga ,0.736357574
840,kirkinchu / kachikampu,armadillo ,0.817806298
841,kiru,árbol ,0.620856717
842,kishparik,independencia ,0.541333261
843,kishpichina,perdonar ,0.541333261
844,kishpiripacha,liberalismo ,0.541333261
845,kishuar,quishuar ,0.541333261
846,kita,brioso ,0.541333261
847,kiti,cantón ,0.03738823
848,kiti apuk,jefe político ,0.129789499
849,kiti kamaklli,concejal ,0.123793982
850,kiti kapachik apuk,comisario nacional ,0.568182726
851,kitikapak,capital provincial ,0.890953684
852,kitilli,parroquia ,0.925416935
853,kitilli apuk,teniente político ,0.375597019
854,kucha,lago ,0.958610345
855,kuchaku,laguna ,0.541333261
856,kuchawpi,bicectriz ,0.541333261
857,kuchi,cerdo ,0.709719036
858,kuchulla,cerca ,0.903035912
859,kuchupatay,grado angular ,0.790644555
860,kuku- pukchi,libra ,0.124449539
861,kukulli,paloma ,0.6470338
862,kulla,enero ,0.354760755
863,kulla killa,enero ,0.354760755
864,kullasuyu,región sur ,0.835380976
865,kullka,prisma ,0.901120596
866,kullka puncha,jueves ,0.475832327
867,kullkikamak wankuri,asociación bancaria ,0.101087487
868,kullkikamak wankuriy,asociación bancaria ,0.101087487
869,kullkikamak wasi,banco- mutua- copo- corporación- financiera ,0.172409286
870,kullkikamay,economía ,0.30725887
871,kullkikamay kamu,libro contable ,0.114669364
872,kullkikamay shinayachi,conmutabilidad bancaria ,0.12792673
873,kullkikamaychik,sistema contable ,0.053672236
874,kullkikikinchik,póliza ,0.614629015
875,kullkilli,billetes de denominacion baja- pequeños ,0.357794219
876,kullkimantawankuri,organización económica ,0.541333261
877,kullkimashnayachik,presupuesto ,0.410537904
878,kullkiminkay kamu,libro banco ,0.411320049
879,kullkipatsakri,impuesto ,0.131213631
880,kullkirayku hatun tantanakuy,grandes bloques económico ,0.558580831
881,kullkirayku llankay,actividad económica ,0.893998005
882,kullkiyuk,capitalista ,0.108364291
883,kullku,tronco ,0.40014125
884,kulta,pato ,0.219528451
885,kumuriy,inclinarse ,0.937392027
886,kuna,dar ,0.399640871
887,kunakuy,ofrecer ,0.541333261
888,kunakyuyayku,refrán ,0.541333261
889,kunan,presente ,0.541333261
890,kunan pacha,tiempo presente ,0.816998362
891,kunan yallishka,participio ,0.541333261
892,kunana,consejo ,0.583062309
893,kunanyallishka,participio ,0.541333261
894,kunka,garganta- cuello ,0.104239701
895,kunka tullu,nuca ,0.030282992
896,kunkaklla,olvidadiso ,0.541333261
897,kunkallina,bufanda ,0.541333261
898,kunkariy,olvidarse ,0.811223111
899,kunkashka,olvidado ,0.442211031
900,kunkay,olvidar ,0.541333261
901,kunkaycha,negligencia- descuido ,0.364202399
902,kunkaychashka,descuidado- negligente ,0.004813064
903,kunkaychay,descuidar ,0.541333261
904,kunkaychiy,omisión- omitir ,0.541333261
905,kunkaylla,tranquilo- en reposo ,0.433454167
906,kunkuri,rodilla ,0.033966944
907,kunkuriy,arrodillarse ,0.086823657
908,kuntisuyu,occidente ,0.284243951
909,kuntur,condor ,0.643877442
910,kunuk,caliente ,0.541333261
911,kunuk allpa,costa ,0.724622542
912,kunuk yaku,agua termal ,0.951377001
913,kunukuy- killuchakay,carbohidrato ,0.93033187
914,kupa,rastrojo ,0.541333261
915,kupa- ñuku,basura ,0.062315215
916,kurikinka,curiquingue ,0.541333261
917,kurpa,masa amasado ,0.062734712
918,kurpa chanpa,terrón ,0.541333261
919,kurpa- putuk,enano ,0.14329244
920,kurpañutuchi,desterronamiento ,0.541333261
921,kuru,gusano ,0.145577837
922,kurun anta,motocicleta- moto ,0.305477854
923,kururuna,ovillar ,0.541333261
924,kuruta,testículo ,0.045415061
925,kusa,esposo- marido ,0.710004047
926,kusana,asar ,0.541333261
927,kushi,alegre ,0.926047077
928,kushikuy,emoción ,0.788905577
929,kushillu,mono ,0.197121698
930,kushipatak,sacerdote ,0.647853691
931,kushiyay,alegria ,0.831626676
932,kushkapaktay,puntualidad ,0.541333261
933,kushma,camisa ,0.226460156
934,kushpana,saltar ,0.541333261
935,kushpana- pawana,saltar ,0.541333261
936,kuska,parte- sitio- lugar- dirección ,0.314955379
937,kuska imallichik,adverbio del lugar ,0.924406846
938,kuskallpayku,subterráneo ,0.866024177
939,kuskayupay chani,valor relativo ,0.703160021
940,kuski,septiembre- frondoso- abundancia ,0.922836419
941,kuski killa,septiembre ,0.336485023
942,kuskina- hamutayana,analizar ,0.541333261
943,kuskunku,buho ,0.1016103
944,kutachik,molinero ,0.541333261
945,kutana,molino ,0.38109517
946,kuticharina,rescatar ,0.541333261
947,kutichina,responder ,0.426265934
948,kutichiy,responder ,0.426265934
949,kutin,vez veces ,0.541570177
950,kutinchi,múltiplo ,0.541333261
951,kutinchichiy,factorización ,0.541333261
952,kutinchik millka,tabla de frecuencias ,0.701588309
953,kutinchiklla,frecuencia absoluta ,0.646993696
954,kutinchina,repetir ,0.81078919
955,kutinchinaw,repetir ,0.81078919
956,kutinchishka yupaykuna,números múltiplos ,0.132855839
957,kutinchiy,multiplicación ,0.541333261
958,kutinkutinchik,exponente ,0.944257408
959,kutinkutinchiy,potenciación ,0.541333261
960,kutinkutinmuchiy,radicación ,0.541333261
961,kutinkutirik,base de potencia  ,0.490738643
962,kutinriksina,reconocer ,0.599097713
963,kutirichiy,convertirse ,0.646452142
964,kutirik,factor común ,0.617149643
965,kutirik taripay,búsqueda del factor común ,0.617149643
966,kutsana,rasgar ,0.051745036
967,kutsi,ligero ,0.657513947
968,kutsiy,agilidad ,0.541333261
969,kuwartilla - ukapa,cuartilla  +/- 60 lb ,0.206525462
970,kuy,cuy / conejillo de indias ,0.021652282
971,kuya,reina- emperatriz- soberana del incario señora- dama ,0.046881334
972,kuyak,acariciador ,0.541333261
973,kuyana-,amar ,0.927649111
974,kuyashka,amante ,0.830360118
975,kuyaylla,hermosa- linda ,0.911628057
976,kuyka,lombríz ,0.04468397
977,kuykakamay,lombricultura ,0.541333261
978,kuyllur,asterisco ,0.010698702
979,kuytsa,joven- adolescente mujer ,0.683745637
980,kuyurihillanta,máquina ,0.308597439
981,kuyuy,mover ,0.293052469
982,lachuri,hijastro ,0.541333261
983,ladera,shayak allpa ,0.541333261
984,lamama,madrastra ,0.541333261
985,lancha,tizón ,0.541333261
986,lapani,hermanastra ,0.541333261
987,laushi,hijastra ,0.541333261
988,lawawki,hermanastro ,0.541333261
989,layaya / latayta,padrastro ,0.139301584
990,llachak,vegetal ,0.887913964
991,llachakamay,flora ,0.960905317
992,llachapashka,remendado ,0.111173888
993,llachapay,remendar ,0.910172233
994,llachapayuk,remendon ,0.541333261
995,llaki,triste ,0.101748278
996,llaki,tristeza ,0.051358465
997,llakichik,perjuicios ,0.048915567
998,llakichik wallpariykuna,formas de explotación ,0.676259731
999,llakichipacha,la colonia ,0.25356005
1000,llakichiy,explotación ,0.541333261
1001,llakilla,triste ,0.101748278
1002,llakitukuy,desastre ,0.051055576
1003,llakta,pueblo ,0.541333261
1004,llakta ushay,democracia ,0.319675949
1005,llaktakay,pueblos ,0.541333261
1006,llaktamanta llukshiri,migración ,0.241223857
1007,llaktapak ushay,democracia ,0.319675949
1008,llaktari allpa,territorio ,0.359087277
1009,llaktarimay,dialecto ,0.541333261
1010,llaktay,pueblo ,0.541333261
1011,llaktayku,población ,0.429173934
1012,llaktushay,democracia ,0.319675949
1013,llakushi,sentimiento ,0.608691027
1014,llama,llama- oveja ,0.541333261
1015,llamkaypaktachi,función rol ,0.67260133
1016,llamkaywillay,informe ,0.164251779
1017,llamkayñan,planificación ,0.541333261
1018,llampu,liso ,0.541333261
1019,llankahillay,equipos ,0.271556323
1020,llankamana,inutil ,0.066781803
1021,llankanauku,oficina ,0.286227168
1022,llankanaukuk,oficinista ,0.541333261
1023,llankayñan,planificación ,0.541333261
1024,llano- campo,pampa ,0.898817629
1025,llantu,sombra ,0.813616612
1026,llanturiy,eclipse ,0.398703447
1027,llapiriy,presión ,0.407720802
1028,llashachik,balanza ,0.003381029
1029,llashak,masa y peso ,0.445229733
1030,llashak tupu,medida de masa ,0.601288578
1031,llatanay,descubrirse- sacarse la ropa ,0.935687162
1032,llawsayachik,endòcrino ,0.006044328
1033,llawsayari,viscosidad ,0.094050525
1034,llawtu,corona- diadema ,0.541333261
1035,llichayuk,dichoso ,0.07223326
1036,llika,sistema ,0.541333261
1037,llika yachay wasikuna,redes educativas ,0.343358929
1038,llika- wallpa,estructura ,0.897817841
1039,lliwitupu,radianes ,0.541333261
1040,lluki,izquierdo ,0.418369646
1041,lluki maki,mano izquierda ,0.248045955
1042,llullana,mentir ,0.056598811
1043,llullu,tierno ,0.746610139
1044,llumpak,limpio ,0.541333261
1045,llumpakay,virginidad ,0.091562728
1046,llumpakshunku,castidad ,0.100612484
1047,llushpichiy,despegar ,0.292755743
1048,llutachina,pegar ,0.124220698
1049,llutariy,magnetismo ,0.913988658
1050,loma,tula ,0.541333261
1051,lulun,huevo ,0.443999892
1052,lumu,yuca ,0.246498326
1053,lutsay,proporción- proporcionalidad ,0.541333261
1054,lutsaychishpa raki,reparto proporcional ,0.427709838
1055,lutsaykumuk,proporción armónica o inversa ,0.319242975
1056,lutsaykutinchik,frecuencia relativa ,0.742321067
1057,lutsaykuyak,proporcionalidad inversa ,0.124484688
1058,lutsaysapayak,proporcionalidad directa ,0.577917181
1059,machana,emborrachar ,0.144880696
1060,machu,tuerto ,0.08908064
1061,makana,pegar ,0.124220698
1062,makanakuy,guerra ,0.541333261
1063,makanakuy runakuna,guerreros ,0.541333261
1064,makay,golpe- pegar- agravio ,0.636837413
1065,maki,mano ,0.382826955
1066,maki hawa,palma de la mano ,0.315140014
1067,maki ruka,uña del dedo de la mano ,0.127246185
1068,maki washa,dorso de la mano ,0.382826955
1069,maki-watana,manilla- pulsera ,0.247106939
1070,makillina,guante ,0.209533325
1071,makimañachi,colaboración mutua ,0.399789426
1072,makimañachiy,prestación de mano para el trabajo ,0.380618266
1073,makimañashpa,una mano de ayuda ,0.375200969
1074,makimañay,pedir la mano para casarse ,0.55854544
1075,makipakchiruray,artesanía ,0.97504865
1076,makirumpay,voleibol ,0.933762328
1077,makirurashka,manualidad ,0.541333261
1078,makiruray,artesanía ,0.97504865
1079,makiruraykamay,artesanía ,0.97504865
1080,makiyasiy,voleibol ,0.933762328
1081,maklluy,peligro ,0.183321056
1082,maklluy gt,peligro ,0.183321056
1083,mallina,probar- saborear ,0.95547231
1084,mama,madre- mamá ,0.233699097
1085,mama chanka,muslo ,0.277585785
1086,mama chumpi,faja-madre ,0.541333261
1087,mama kullki kamachi,regla de interés ,0.461738262
1088,mamakamachik,constitución ,0.541333261
1089,mamakucha,océano ,0.932471185
1090,mamakullki,capital ,0.890953684
1091,mamallakta,país ,0.552168718
1092,mamallakta kallaripa tantanakuy,asamblea constituyente ,0.833138765
1093,mamallakta kawsay kallari,vida republicana ,0.563775792
1094,mamallakta michari,defensa nacional ,0.788862121
1095,mamallakta pura kapak kamay,política exterior ,0.597176119
1096,mamallaktachiy,estado ,0.646006282
1097,mamallaktapa apukwasi,palacio de gobierno ,0.915268687
1098,mamallaktapa haylli,himno nacional ,0.40631817
1099,mamallaktapa kapak,nacionalista ,0.541333261
1100,mamallaktapak tantanakuy,estado ,0.646006282
1101,mamallaktapura kullkikulka,fondo monetario internacional fmi ,0.453230861
1102,mamayakunta mintalay,comercio marítimo ,0.95283883
1103,mana alli,mal- malo ,0.291684915
1104,mana rikshka antakuna,los ovnis ,0.069123715
1105,mana riksishka,extraño ,0.333129759
1106,mana tukurik,infinito ,0.781852096
1107,manahaykapash,nunca jamas ,0.117799316
1108,manapakiyak yupay,número irracional ,0.135468189
1109,manapipash,nadie- ninguno ,0.263232556
1110,manarak turuwan makiruray pacha,período precerámico ,0.303871182
1111,manashuwak,honrado ,0.676598672
1112,manañakcharishka,despinado ,0.942226621
1113,manchay,temer ,0.082498776
1114,manllariy,asustarse ,0.541333261
1115,manllay,temer- tener miedo ,0.320489608
1116,manuchaskiy,cobrar ,0.07600269
1117,manya,borde- lado ,0.675985303
1118,manyaku,cateto ,0.541333261
1119,manyakupurachi,tangente ,0.1548207
1120,manyakupuramuchi,cotangente ,0.541333261
1121,manyakupuramunchi,cotangente ,0.541333261
1122,manyapikakkuna,extremos ,0.541333261
1123,manyatupu,perímetro ,0.815222819
1124,manña,borde- orilla ,0.93764033
1125,mapayashka,obseno ,0.541333261
1126,mapayay,pornografía ,0.188216496
1127,marka kamachik,prefecto ,0.860209562
1128,markakamachiklli,consejero provincial ,0.316758201
1129,markapuk,gobernador ,0.541333261
1130,masha,yerno- cuñado ,0.238106387
1131,mashi,amigo ,0.385867357
1132,mashipurari,relación mutuo ,0.546539428
1133,mashkaychani,incógnita ,0.541333261
1134,mashnayachi,conocimiento de cantidad o cálculo ,0.68294049
1135,mashnayachina,calcular ,0.586010502
1136,mashnaykuna,cantidad  ,0.730644533
1137,mashu- chimpilaku,murciélago ,0.346751193
1138,mashuwa,mashua ,0.541333261
1139,maskana,buscar ,0.459114267
1140,maskaypacha,corona ,0.541333261
1141,masma yachak,ingeniero ,0.283087493
1142,masmana,construir ,0.637627745
1143,masmay,armar ,0.6031458
1144,mawkana,usar ,0.359526297
1145,may kutinchikuna,productos notables ,0.933479939
1146,may mutsuri,importantes ,0.843041926
1147,may rakikuna,cocientes notables ,0.933479939
1148,mayalli,indispensable ,0.880786711
1149,maychani- raymana,importancia ,0.670630386
1150,mayhatun,macro ,0.541333261
1151,maykanpash,cualquiera ,0.541333261
1152,maykutinchikuna,productos notables ,0.933479939
1153,maymachariy,alcoholismo ,0.541333261
1154,maymutsurik,importante ,0.784036139
1155,maymutsuriy- maychaniy,importancia ,0.670630386
1156,maypakchiruray,arte ,0.959757799
1157,mayrakikuna,cocientes notables ,0.933479939
1158,mayu,río ,0.966887255
1159,mayuchilla,micro ,0.75429626
1160,maywa,morado- violeta ,0.594891673
1161,maywana,enamorar ,0.672561841
1162,maywana- munayana,enamorar ,0.672561841
1163,mañana,pedir ,0.730049074
1164,mañay,solicitud ,0.541333261
1165,mi si,gato ,0.280269906
1166,michachikanyay,descomposición de la energía ,0.186545825
1167,michina,pastar ,0.017257978
1168,mika- mati,plato de madera ,0.806728416
1169,miklla,treinta libras ,0.029885969
1170,mikuna,comer ,0.886939771
1171,mikuy- mikuna,alimento ,0.58876368
1172,milchina,manipular ,0.541333261
1173,milchina- llanwana,palpar ,0.994131807
1174,milchinay,experimentar ,0.922724908
1175,milka,párrafo- cuadro ,0.049272416
1176,milkachishka,killka cuadro sinóptico ,0.049272416
1177,milkachishka killkaw,cuadro sinóptico ,0.049272416
1178,milkakinrayshuyu,histograma ,0.541333261
1179,millanayay,feo ,0.184980762
1180,millaymakay,,0.541333261
1181,millkashuyu,gráfico de barras ,0.426799426
1182,milluku,melloco ,0.541333261
1183,minchakama,despedida próxima ocasión ,0.623741881
1184,minchayana,despedirse ,0.687962511
1185,minchayana w,despedirse ,0.687962511
1186,minkana,encargar ,0.541333261
1187,minkarik,huesped ,0.775331525
1188,mintala,comerciante ,0.585299249
1189,mintalana,comercializar ,0.541333261
1190,mintalanayay,comercializaciòn ,0.541333261
1191,mintalay,comercio ,0.69371551
1192,mintu,pirámide ,0.781954664
1193,mirachina,aumentar ,0.247264962
1194,mirachina w,reproducir ,0.420948933
1195,mirana,aumentar- producir- ,0.541333261
1196,mirka,paño- mancha de la cara ,0.108797339
1197,mishanakuy,competencia ,0.258318781
1198,mishay,ganr- competir ,0.307933184
1199,mishki,dulce ,0.810744055
1200,mishu,mestizo ,0.715297755
1201,mishuma uchu,ají menos picante ,0.561853089
1202,mitsa,verruga ,0.541333261
1203,mitsak,mezquino ,0.308718559
1204,mitsana,mezquinar ,0.541333261
1205,miyuchina- mapayachina,contaminar ,0.541333261
1206,miyuwayra,anhídrido carbónico ,0.0073368
1207,miyuy,contaminación ,0.541333261
1208,miyuy wanu,fertilizante químico ,0.135707307
1209,miyuychi,contaminaciòn ,0.541333261
1210,montaña- cerro,urku ,0.031194037
1211,monte- bosque- selva,sacha ,0.541333261
1212,muchana,besar ,0.666402426
1213,muchiku,sombrero ,0.792360225
1214,muksi,oxido ,0.210222397
1215,muku,nudo ,0.332536669
1216,muku,articulación ,0.541333261
1217,munana,querer ,0.283878955
1218,munanayay,deseo carnal ,0.349047501
1219,munapayay,desear con locura ,0.392756152
1220,munarishka,aficionado ,0.630241405
1221,munay,deseo ,0.541333261
1222,munay killka,escritura de expresión libre ,0.868845198
1223,munay yachay,auto estudio ,0.22780537
1224,munaymanta ruray,hobby- pasa tiempo ,0.816998362
1225,muntira,gorra ,0.703920228
1226,murtiñu,mortiños ,0.541333261
1227,muru unkuy,sarampión ,0.053994919
1228,muru- añawi,fruto ,0.65593108
1229,muruchu,morocho ,0.309228889
1230,murukuna,productos agrícolas- granos ,0.439574977
1231,mushuk,nuevo ,0.572788987
1232,mushukpacha,neolítico ,0.541333261
1233,mushukyachinalla,renovable ,0.541333261
1234,muskuna,soñar ,0.541333261
1235,musparina,desvariar ,0.541333261
1236,musyana,preveer ,0.541333261
1237,musyana- kipakrikuna,prever ,0.541333261
1238,musyay,prevención- temer- tener miedo ,0.320489608
1239,mutilon,motilones ,0.541333261
1240,mutsukmanta,necesariamente ,0.541333261
1241,mutsuna,necesitar ,0.69498051
1242,mutsuri killkanancha kutinchi,productos notables ,0.933479939
1243,mutsurik,útil ,0.658749095
1244,mutsushka,necesitado- menesteroso ,0.541333261
1245,mutsuy,uso ,0.354643876
1246,mutsuy,necesitar ,0.69498051
1247,mutsuypa,utilidad ,0.541333261
1248,muyu,semilla ,0.198557484
1249,muyuna,rodear ,0.541333261
1250,muyuntin,alrededor ,0.541333261
1251,muyuntintupu,medida del círculo ,0.579953438
1252,muyuriy,giro ,0.554897447
1253,muyuy rimay,mesa redonda ,0.878711344
1254,muyuy tupu,perímetro de la circunferencia ,0.960098812
1255,muyuykuchu,ángulo de giro ,0.713769228
1256,muyuypacha,ciclo ,0.338295881
1257,muyuyrimay,mesa redonda ,0.878711344
1258,muyuyshuyu,gráfico de pasteles ,0.401750916
1259,muyuytupu,longitud de la circunferencia ,0.951654902
1260,nanay,dolor ,0.147605665
1261,nankay,equilibrio ,0.804146035
1262,napaykuna,saludos ,0.525696424
1263,niki,orden ,0.759931466
1264,nikichik,ordenador- computadora- pc ,0.306088372
1265,nikichina,ordenar- organizar ,0.541333261
1266,nikirakiri,fase ,0.313767524
1267,nikiyupay,números ordinales ,0.132855839
1268,nikiyupaykuna,números ordinales ,0.132855839
1269,nikyachay,teorema ,0.541333261
1270,nimaykan,ninguna ,0.203639102
1271,nina,fuegollama- candela ,0.541333261
1272,nina kuru,luciérnaga ,0.541333261
1273,ninayay- rupariy,combustión ,0.012912169
1274,nipa,elemento ,0.597034938
1275,nipakutichi,intersección ,0.963415449
1276,nipapurachi,correspondencia- relación ,0.880541801
1277,nipayay,componente ,0.541333261
1278,nishani,autodeterminación ,0.028944031
1279,nuna,espíritu- alma ,0.559142291
1280,pacha,tiempo y espacio ,0.930194288
1281,pacha imallichik,adverbio de tiempo ,0.816998362
1282,pacha shuktayay,fenómeno natural ,0.83335596
1283,pacha tupuk,reloj ,0.541333261
1284,pachachik,reloj ,0.541333261
1285,pachachik- sayllachik,reloj ,0.541333261
1286,pachakutik pacha,renacimiento ,0.848608067
1287,pachamama,mundo ,0.720579972
1288,pachamamapi tiyak,recurso natural ,0.461307009
1289,pachamamapi tiyakkuna,recursos naturales ,0.536881819
1290,pachanyachiy,fomento ,0.392824921
1291,pachapi tiyak chimpaykuna,teoría de la relatividad ,0.70771169
